module_name,completion_time
ObjectDetector,137.30549812316895
ObjectTracker,0.19884109497070312
ObjectDetector,134.40847396850586
ObjectTracker,0.17690658569335938
ObjectDetector,133.90445709228516
ObjectTracker,0.1735687255859375
ObjectDetector,143.19157600402832
ObjectTracker,0.17762184143066406
ObjectDetector,137.42637634277344
ObjectTracker,0.1761913299560547
ObjectDetector,136.86680793762207
ObjectTracker,0.17690658569335938
ObjectDetector,135.70141792297363
ObjectTracker,0.17380714416503906
ObjectDetector,143.66745948791504
ObjectTracker,0.17642974853515625
ObjectDetector,142.78459548950195
ObjectTracker,0.18215179443359375
ObjectDetector,137.65645027160645
ObjectTracker,0.1800060272216797
ObjectDetector,139.4517421722412
ObjectTracker,0.17905235290527344
ObjectDetector,141.2045955657959
ObjectTracker,0.17714500427246094
ObjectDetector,138.71145248413086
ObjectTracker,0.1773834228515625
ObjectDetector,136.5823745727539
ObjectTracker,0.17261505126953125
ObjectDetector,142.93789863586426
ObjectTracker,0.18358230590820312
ObjectDetector,144.61445808410645
ObjectTracker,0.18477439880371094
ObjectDetector,144.64092254638672
ObjectTracker,0.19693374633789062
ObjectDetector,140.80142974853516
ObjectTracker,0.179290771484375
ObjectDetector,140.24615287780762
ObjectTracker,0.17714500427246094
ObjectDetector,139.82629776000977
ObjectTracker,0.17905235290527344
ObjectDetector,141.1604881286621
ObjectTracker,0.1766681671142578
ObjectDetector,140.7761573791504
ObjectTracker,0.19240379333496094
ObjectDetector,137.16721534729004
ObjectTracker,0.17714500427246094
ObjectDetector,137.03250885009766
ObjectTracker,0.1838207244873047
ObjectDetector,138.58556747436523
ObjectTracker,0.17690658569335938
ObjectDetector,143.1407928466797
ObjectTracker,0.1823902130126953
ObjectDetector,144.8979377746582
ObjectTracker,0.18358230590820312
ObjectDetector,139.13822174072266
ObjectTracker,0.18095970153808594
ObjectDetector,139.09912109375
ObjectTracker,0.18548965454101562
ObjectDetector,142.10987091064453
ObjectTracker,0.1823902130126953
ObjectDetector,142.15469360351562
ObjectTracker,0.20813941955566406
ObjectDetector,142.42982864379883
ObjectTracker,0.18453598022460938
ObjectDetector,142.1048641204834
ObjectTracker,0.20837783813476562
ObjectDetector,138.32426071166992
ObjectTracker,0.19669532775878906
ObjectDetector,139.82343673706055
ObjectTracker,0.1819133758544922
ObjectDetector,138.99517059326172
ObjectTracker,0.1850128173828125
ObjectDetector,138.23699951171875
ObjectTracker,0.17952919006347656
ObjectDetector,136.9175910949707
ObjectTracker,0.17595291137695312
ObjectDetector,139.15562629699707
ObjectTracker,0.1773834228515625
ObjectDetector,139.21093940734863
ObjectTracker,0.18167495727539062
ObjectDetector,141.10326766967773
ObjectTracker,0.18095970153808594
ObjectDetector,141.35050773620605
ObjectTracker,0.17786026000976562
ObjectDetector,142.042875289917
ObjectTracker,0.18310546875
ObjectDetector,141.798734664917
ObjectTracker,0.18215179443359375
ObjectDetector,140.40112495422363
ObjectTracker,0.18215179443359375
ObjectDetector,137.82668113708496
ObjectTracker,0.1957416534423828
ObjectDetector,142.32730865478516
ObjectTracker,0.1876354217529297
ObjectDetector,137.67647743225098
ObjectTracker,0.17905235290527344
ObjectDetector,147.50337600708008
ObjectTracker,0.1881122589111328
ObjectDetector,140.4895782470703
ObjectTracker,0.3712177276611328
ObjectDetector,141.29161834716797
ObjectTracker,0.6763935089111328
ObjectDetector,144.94085311889648
ObjectTracker,0.39696693420410156
ObjectDetector,144.20604705810547
ObjectTracker,0.3383159637451172
ObjectDetector,135.0841522216797
ObjectTracker,0.1773834228515625
ObjectDetector,134.51409339904785
ObjectTracker,0.1983642578125
ObjectDetector,134.87744331359863
ObjectTracker,0.17881393432617188
ObjectDetector,141.65782928466797
ObjectTracker,0.20051002502441406
ObjectDetector,143.43523979187012
ObjectTracker,0.3857612609863281
ObjectDetector,139.86563682556152
ObjectTracker,0.39005279541015625
ObjectDetector,154.37626838684082
ObjectTracker,0.3483295440673828
ObjectDetector,157.11355209350586
ObjectTracker,0.18525123596191406
ObjectDetector,141.68882369995117
ObjectTracker,0.1995563507080078
